codprd;descri;present;;bultos x pallets
2884;TE CHECK (3264);ESTUCHE 100  SAQ. S/;;128
2950;YM CHECK;PAQ. FLOJO X 1000 GR;;78
2880;M.COC. CHECK (9560);ESTUCHE 100 SAQ. S/S;;48
2887;TE CHECK FRUTILLA (6395);ESTUCHE 25  SAQ. C/S;;88
2888;TE CHECK LIMON (6401);ESTUCHE 25  SAQ. C/S;;88
2886;TE CHECK DURAZNO (6388);ESTUCHE 25  SAQ. C/S;;88
2824;YM NATURA SERRANA-MANZAN;PAQ. FLOJO X 500 G;;80
2949;YM CHECK;PAQ. FLOJO X 500 G;;40
2882;MANZANILLA CHECK (0949);ESTUCHE 25  SAQ. S/S;;88
2875;BOLDO CHECK;ESTUCHE 25 SAQ. S/S;;88
2885;MEZC HIERBAS CHECK (1000);ESTUCHE 25 SAQ. S/S;;88
2828;YM NATURA SUAVE;PAQ. FLOJO X 1000 GR;;78
2877;TE CHECK;ESTUCHE 25  SAQ. S/S;;88
2881;TE VERDE CHECK (9058);ESTUCHE 25  SAQ. C/S;;88
2876;M.COC. CHECK 9546;ESTUCHE 25 SAQ. S/S;;80
2883;TE CHECK (0987);ESTUCHE 50  SAQ. S/S;;128
2825;YM NATURA SUAVE;PAQ. FLOJO X 500 G;;80
2879;M.COC. CHECK (9553);ESTUCHE 50 SAQ. S/S;;80
2760;YM MATHIENZO;PAQ. FLOJO X 500 G;;80
2953;YM CLASSIC SUAVE S/TACC;PAQ. FLOJO X 1000 G;;78
2969;TE CLASSIC S/TACC;ESTUCHE 100  SAQ. S/S;;128
2966;M.COC. CLASSIC S/TACC;ESTUCHE 100 SAQ. S/S;;48
2692;YM NATURA ORGANICA;PAQ. FLOJO X 500 G;;80
2856;YM CARREFOUR FLOJO;PAQ. FLOJO X 250 G;;152
2954;YM CLASSIC SUAVE S/TACC;PAQ. FLOJO X 500 G;;40
2961;YM CARREFOUR EXTRA SELEC;ESTUCHE X 500 GR;;78
2970;TE VERDE CLASSIC S/TACC;ESTUCHE 25 SAQ. S/S;;88
2960;YM CLASSIC FLOJO;PAQ. FLOJO X 250 G;;152
2958;YM CLASSIC S/TACC;PAQ. FLOJO X 1000 G;;50
2962;YM CLASSIC MENTA S/TACC;PAQ. FLOJO X 500 G;;40
2956;YM BULNEZ S/TACC;PAQ. FLOJO X 1000 G;;78
2964;M.COC. CLASSIC S/TACC;ESTUCHE 25 SAQ. S/S;;80
2967;TE CLASSIC S/TACC;ESTUCHE 25  SAQ. S/S;;88
2957;YM BULNEZ S/TACC;PAQ. FLOJO X 500 G;;40
2848;YM CARREFOUR MENTA S/TACC;PAQ. FLOJO X 500 G;;40
2971;BOLDO CLASSIC;ESTUCHE 25 SAQ. S/S;;88
2847;YM CARREFOUR NARANJA S/TA;PAQ. FLOJO X 500 G;;40
2963;YM CLASSIC NARANJA S/TACC;PAQ. FLOJO X 500 G;;40
2959;YM CLASSIC S/TACC;PAQ. FLOJO X 500 G;;40
2973;MANZANILLA CLASSIC;ESTUCHE 25 SAQ. S/S;;88
2972;MEZC HIERBAS CLASSIC;ESTUCHE 25 SAQ. S/S;;88
2968;TE CLASSIC S/TACC;ESTUCHE 50  SAQ. S/S;;128
2965;M.COC. CLASSIC S/TACC;ESTUCHE 50 SAQ. S/S;;80
2825;YM NATURA SUAVE;PAQ. FLOJO X 500 G;;80
2824;YM NATURA SERRANA-MANZAN;PAQ. FLOJO X 500 G;;80
2702;YM S & P;PAQ. FLOJO X 1000 GR;;78
2704;M.COC. S & P;ESTUCHE 25 SAQ S/S;;192
2828;YM NATURA SUAVE;PAQ. FLOJO X 1000 GR;;78
2705;TE S & P;ESTUCHE 25 SAQ S/S;;264
2730;MANZANILLA S & P;ESTUCHE 25 SAQ. S/S;;264
2735;BOLDO S & P;ESTUCHE 25 SAQ. S/S;;264
2736;MEZC HIERBAS S & P;ESTUCHE 25 SAQ. S/S;;264
3083;M.COC. S & P;ESTUCHE 50 SAQ S/S;;80
2986;TE VERDE S&P;ESTUCHE 25 SAQ S/S;;264
2825;YM NATURA SUAVE;PAQ. FLOJO X 500 G;;80
2703;YM S & P;PAQ. FLOJO X 500 G;;80
2975;TE S & P;ESTUCHE 50 SAQ S/S;;128
2946;YM LA ANONIMA;PAQ. FLOJO X 1000 GR;;78
2690;TE BEST;ESTUCHE 100 SAQ. S/S;;128
2683;YM NATURA PREMIUM SEL. ES;PAQ. PRENSA X 500 GR;;126
2683;YM NATURA SEL. ESPECIAL;PAQ. PRENSA X 500 GR;;126
2477;M.COC. LA ANONIMA;ESTUCHE 25  SAQ. S/S;;80
2824;YM NATURA SERRANA-MANZAN;PAQ. FLOJO X 500 G;;80
2771;TE BEST;ESTUCHE 25  SAQ. S/S;;88
2828;YM NATURA SUAVE;PAQ. FLOJO X 1000 GR;;78
2478;M.COC. LA ANONIMA;ESTUCHE 50  SAQ. S/S;;90
2476;YM LA ANONIMA;PAQ. FLOJO X 500 G;;40
2685;TE BEST;ESTUCHE 50  SAQ. S/S;;128
2769;BOLDO BEST;ESTUCHE 25 SAQ. S/S;;88
2825;YM NATURA SUAVE;PAQ. FLOJO X 500 G;;80
2768;MANZANILLA BEST;ESTUCHE 25 SAQ. S/S;;88
2770;MEZC HIERBAS BEST;ESTUCHE 25 SAQ. S/S;;88
